startCpG,endCpG,chr_hg38,start_hg38,end_hg38,strand_hg38
8105,8112,chr1,898488,898599,+
9412,9417,chr1,927918,927951,+
9605,9615,chr1,933167,933461,+
13719,13732,chr1,1024852,1025106,+
13732,13748,chr1,1025109,1025421,+
16046,16062,chr1,1073806,1074066,+
16063,16075,chr1,1074123,1074362,+
17917,17921,chr1,1124834,1124943,+
17922,17935,chr1,1124981,1125221,+
18045,18063,chr1,1128044,1128289,+
18063,18087,chr1,1128337,1128793,+
18141,18150,chr1,1130435,1130488,+
18244,18249,chr1,1132527,1132598,+
18249,18255,chr1,1132617,1132747,+
18255,18260,chr1,1132759,1132810,+
18268,18275,chr1,1133070,1133192,+
18281,18299,chr1,1133397,1133711,+
18776,18787,chr1,1145183,1145352,+
19365,19371,chr1,1162447,1162569,+
19412,19439,chr1,1163107,1163433,+
19439,19463,chr1,1163469,1163844,+
19463,19481,chr1,1163865,1164130,+
19481,19490,chr1,1164173,1164272,+
19490,19507,chr1,1164374,1164610,+
19507,19527,chr1,1164625,1164835,+
19528,19542,chr1,1164852,1165036,+
19542,19558,chr1,1165062,1165204,+
19558,19570,chr1,1165245,1165620,+
19571,19578,chr1,1165626,1165865,+
19584,19596,chr1,1166016,1166225,+
19654,19663,chr1,1167353,1167511,+
20266,20283,chr1,1182826,1183066,+
21265,21286,chr1,1212849,1213217,+
21297,21304,chr1,1213502,1213594,+
21843,21848,chr1,1225355,1225447,+
23160,23164,chr1,1251081,1251135,+
23831,23837,chr1,1272547,1272643,+
24212,24229,chr1,1281590,1282022,+
24747,24753,chr1,1291471,1291525,+
26700,26712,chr1,1332863,1332987,+
26716,26728,chr1,1333070,1333228,+
27314,27318,chr1,1347543,1347744,+
29876,29881,chr1,1418046,1418069,+
30070,30080,chr1,1421185,1421561,+
30696,30703,chr1,1437057,1437132,+
30703,30707,chr1,1437152,1437201,+
33236,33240,chr1,1504896,1504954,+
37931,37945,chr1,1627322,1627488,+
38032,38048,chr1,1629098,1629211,+
38084,38091,chr1,1629490,1629557,+
38092,38104,chr1,1629597,1629732,+
39904,39914,chr1,1677676,1677817,+
39914,39924,chr1,1677828,1678044,+
39924,39933,chr1,1678069,1678186,+
39962,39967,chr1,1679217,1679244,+
40200,40207,chr1,1686397,1686555,+
41603,41608,chr1,1721625,1721918,+
43012,43029,chr1,1758796,1759063,+
43029,43034,chr1,1759081,1759182,+
45123,45131,chr1,1859182,1859322,+
46630,46640,chr1,1915895,1916272,+
53953,53968,chr1,2126942,2127198,+
53968,53977,chr1,2127229,2127486,+
53977,53984,chr1,2127490,2127648,+
56729,56744,chr1,2207465,2207697,+
56744,56750,chr1,2207736,2207858,+
56751,56755,chr1,2207879,2207910,+
56755,56767,chr1,2207957,2208041,+
56767,56771,chr1,2208065,2208219,+
56771,56779,chr1,2208298,2208511,+
56779,56787,chr1,2208514,2208876,+
56971,56979,chr1,2213917,2214146,+
56979,56988,chr1,2214198,2214339,+
57805,57809,chr1,2232278,2232316,+
58006,58011,chr1,2238941,2239021,+
58221,58225,chr1,2246540,2246576,+
58276,58284,chr1,2248480,2248604,+
58343,58349,chr1,2250687,2250791,+
58350,58358,chr1,2250844,2250913,+
58388,58392,chr1,2251793,2251879,+
58496,58500,chr1,2255756,2256324,+
59591,59604,chr1,2290737,2290908,+
59614,59621,chr1,2291098,2291236,+
59883,59888,chr1,2299506,2299577,+
59907,59911,chr1,2300344,2300420,+
59916,59930,chr1,2300624,2300873,+
59930,59936,chr1,2300883,2300925,+
59936,59943,chr1,2300952,2301079,+
59943,59963,chr1,2301086,2301419,+
60928,60936,chr1,2322660,2322807,+
60936,60940,chr1,2322844,2322870,+
61394,61405,chr1,2334823,2334975,+
62059,62066,chr1,2352891,2352976,+
62066,62074,chr1,2353051,2353221,+
67734,67740,chr1,2528193,2528290,+
